"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
1750,70,1,2,4,40.4136454,-3.7291278,1,0,0,0,0,0,1,1,0,0
1750,68,1,2,4,40.4207855,-3.6983416,1,0,0,0,0,0,1,1,0,0
1750,45,1,2,0,40.4551712,-3.6705042,0,0,0,1,0,0,0,0,0,0
1750,96,1,2,4,40.4542774,-3.6219781,1,0,1,0,1,1,1,1,1,0
1790,98,1,2,5,40.4333208,-3.679863,1,0,1,1,0,0,1,0,0,0
1800,73,1,2,4,40.4217504,-3.696712,1,0,0,1,0,0,1,0,0,0
1810,70,1,2,0,40.4457663,-3.7116103,1,0,0,0,0,0,1,0,0,0
1850,54,1,2,0,40.4143921,-3.7022047,1,0,0,0,0,0,0,0,0,1
1850,110,1,2,4,40.4152728,-3.7020792,1,0,0,1,0,0,1,0,0,0
1850,100,1,2,3,40.4197033,-3.712296,1,0,0,0,0,0,1,0,0,0
1900,93,1,2,0,40.4385643,-3.6758348,1,0,0,0,1,1,1,1,0,0
1900,58,1,2,3,40.4232143,-3.7091196,1,0,0,0,0,0,1,0,0,0
1900,75,1,2,7,40.4005882,-3.699639,1,0,0,1,1,1,1,0,0,0
1900,75,1,2,7,40.4009515,-3.7000938,1,0,0,1,0,0,1,0,0,0
1900,80,1,2,9,40.4339001,-3.6735293,1,0,0,0,0,0,1,0,0,0
1900,75,1,2,7,40.4022656,-3.7006972,1,0,0,1,0,0,1,0,0,0
1900,80,1,2,6,40.4172728,-3.7066451,1,0,0,1,0,0,1,0,0,0
1910,60,1,2,2,40.4138392,-3.7123873,1,0,0,0,0,0,1,0,0,0
1930,78,1,2,2,40.4142007,-3.7111496,1,0,0,0,0,0,1,0,0,0
1950,130,1,2,1,40.4888545,-3.6704973,1,0,1,1,1,1,1,0,0,0
1950,65,1,2,3,40.4681108,-3.699235,1,0,0,1,1,1,1,0,0,0
1950,110,1,2,2,40.4142193,-3.6968549,1,0,0,0,0,0,1,0,0,0
1950,72,1,2,0,40.4246874,-3.7136514,1,0,0,0,0,0,1,0,0,1
1950,130,1,2,1,40.4880199,-3.6712157,1,0,0,1,1,1,1,0,0,0
1950,130,1,2,0,40.4883248,-3.6699725,1,0,0,1,1,1,1,0,0,0
1950,130,1,2,0,40.4880094,-3.6716075,1,0,1,1,1,1,1,0,1,0
1950,102,1,2,3,40.4384758,-3.7128902,1,0,0,0,0,0,1,0,0,0
2000,80,1,2,7,40.4031916,-3.7016548,1,0,0,1,0,0,0,0,0,0
2000,70,1,2,3,40.4739695,-3.6923128,1,0,0,1,1,0,1,0,0,0
2000,76,1,2,2,40.5227063,-3.6342267,0,0,1,0,1,1,1,0,1,0
2000,160,1,2,1,40.5348141,-3.6538868,1,0,0,0,1,0,1,0,0,0
2000,120,1,2,1,40.5225217,-3.6330747,0,0,1,0,1,1,1,0,1,0
2015,60,1,2,5,40.4275022,-3.6721698,1,0,0,0,0,0,1,0,0,0
2020,69,1,2,1,40.4218332,-3.6991675,1,0,0,0,0,0,1,1,0,0
